Title,Author,ISBN,Publisher,Date Read,Shelves,Bookshelves,read_dates,tags,authors,isbn10,isbn13,owned,dropped_dates,currently_reading
La misura del tempo,Gianrico Carofiglio,9788858432358,Einaudi,,,Fiction Crime,,"Fiction,Crime",Gianrico Carofiglio,,9788858432358,,,
Alla vecchia maniera,Paolo Roversi,9788835734444,Mondadori,,,Crime,,Crime,Paolo Roversi,,9788835734444,,,
Nido vuoto,Alicia Giménez Bartlett,9788838922046,Sellerio,,,Crime Thriller,,"Crime,Thriller",Alicia Giménez Bartlett,,9788838922046,,,
Doppia verità,Michael Connelly,9788856688078,Piemme,,,Fiction Thrillers Suspense,,"Fiction,Thrillers,Suspense",Michael Connelly,,9788856688078,,,
Ghiaccio nero,Michael Connelly,9788858502778,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858502778,,,
Il guardiano dei coccodrilli,Katrine Engberg,9788829708086,Marsilio,,,Mystery Thriller Crime Suspense Contemporary,,"Mystery,Thriller,Crime,Suspense,Contemporary",Katrine Engberg,,9788829708086,,,
Il respiro del drago,Michael Connelly,9788838468803,Edizioni Piemme,,,Fiction Thrillers Suspense,,"Fiction,Thrillers,Suspense",Michael Connelly,,9788838468803,,,
L'incubo di Thea,Linda Barnes,,Mondadori,,,,,,Linda Barnes,,,,,
Riti di morte,Alicia Giménez Bartlett,9788838917806,Sellerio,,,Crime Mystery Thriller Suspense,,"Crime,Mystery,Thriller,Suspense",Alicia Giménez Bartlett,,9788838917806,,,
Avvocato di difesa,Michael Connelly,9788858500880,Edizioni Piemme,,,Fiction Thrillers Suspense Crime Legal,,"Fiction,Thrillers,Suspense,Crime,Legal",Michael Connelly,,9788858500880,,,
Il passaggio,Michael Connelly,9788858516423,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858516423,,,
Isola,Katrine Engberg,9788772390093,Alpha Forlag,,,Mystery Crime Thriller Contemporary,,"Mystery,Crime,Thriller,Contemporary",Katrine Engberg,,9788772390093,,,
La scatola nera,Michael Connelly,9788858513255,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858513255,,,
Il giorno dell'innocenza,Michael Connelly,9788858531952,Edizioni Piemme,,,Fiction Thrillers Crime Suspense,,"Fiction,Thrillers,Crime,Suspense",Michael Connelly,,9788858531952,,,
Il ritorno del maestro di danza,Henning Mankell,9788831792035,Marsilio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Henning Mankell,,9788831792035,,,
La svedese,Giancarlo de Cataldo,9788858439968,Einaudi,,,,,,Giancarlo de Cataldo,,9788858439968,,,
Assassino senza volto,Henning Mankell,9788831730785,Marsilio,,,Mystery Crime Thriller,,"Mystery,Crime,Thriller",Henning Mankell,,9788831730785,,,
Lame di luce,Michael Connelly,9788858500897,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858500897,,,
Promessa mortale,Angela Marsons,9788822774293,Newton Compton,,,Thriller Crime Mystery,,"Thriller,Crime,Mystery",Angela Marsons,,9788822774293,,,
Testimone inconsapevole,Gianrico Carofiglio,9788838918001,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Gianrico Carofiglio,,9788838918001,,,
Destinazione ignota,Agatha Christie,9788804709138,Mondadori,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Agatha Christie,,9788804709138,,,
Morte a Bellagio,Cocco & Magella,9788831742788,Marsilio,,,,,,Cocco & Magella,,9788831742788,,,
La legge dell'innocenza,Michael Connelly,9788858525920,Edizioni Piemme,,,Fiction Thrillers Crime Suspense General,,"Fiction,Thrillers,Crime,Suspense,General",Michael Connelly,,9788858525920,,,
Non è stagione,Antonio Manzini,9788838933271,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Antonio Manzini,,9788838933271,,,
Il ragno,Michael Connelly,9788858500910,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858500910,,,
Ogni giorno ha il suo male,Antonio Fusco,9791223228265,Giunti,,,Thriller Crime,,"Thriller,Crime",Antonio Fusco,,9791223228265,,,
La canarina assassinata,S. S. van Dine,9788818029338,Polillo,,,Mystery Crime Classics,,"Mystery,Crime,Classics",S. S. van Dine,,9788818029338,,,
La bionda di cemento,Michael Connelly,9788858502808,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858502808,,,
Un conto aperto con la morte,Bruno Morchio,9788811004837,Garzanti,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Bruno Morchio,,9788811004837,,,
Un corpo sulla spiaggia,Håkan Nesser,9788850233632,TEA,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Håkan Nesser,,9788850233632,,,
La casa in fondo alla strada,Karen McQuestion,9788822769657,Newton Compton Editori,,,Thriller Mystery Horror Suspense Contemporary Adult,,"Thriller,Mystery,Horror,Suspense,Contemporary,Adult",Karen McQuestion,,9788822769657,,,
I cerchi nell'acqua,Alessandro Robecchi,9788838940507,Sellerio,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Alessandro Robecchi,,9788838940507,,,
Il collezionista di ossa,Jeffery Deaver,9788858643662,Bur,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Jeffery Deaver,,9788858643662,,,
L'estate fredda,Gianrico Carofiglio,9788858424407,Einaudi,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Gianrico Carofiglio,,9788858424407,,,
Il buio oltre la notte,Michael Connelly,9788858500941,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858500941,,,
Morti di carta,Alicia Giménez Bartlett,9788838917462,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Alicia Giménez Bartlett,,9788838917462,,,
La casa del giudice: Le inchieste di Maigret (19 di 75),Georges Simenon,9788845971341,Adelphi Edizioni spa,,,Fiction General Mystery&Detective,,"Fiction,General,Mystery & Detective",Georges Simenon,,9788845971341,,,
Tempesta al Rancho rio,Mignon G. Eberhart,,Mondadori,,,Mystery,,Mystery,Mignon G. Eberhart,,,,,
L'isola,Ragnar Jónasson,9788829718634,Marsilio Editori spa,,,Fiction Thrillers General Suspense Crime,,"Fiction,Thrillers,General,Suspense,Crime",Ragnar Jónasson,,9788829718634,,,
La forza del destino,Marco Vichi,9788860889638,Guanda,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Marco Vichi,,9788860889638,,,
